ordernumber,quantityordered,price,orderlinenumber,sales,orderdate,status,productline,msrp,productcode,customername,city,postalcode,country,territory,contactlastname,contactfirstname,dealsize,quarter,year,Phonenumber,Address
10107,30,95.7,2,2871.0,2003-02-24,Shipped,Motorcycles,95,101678,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Small,Q1,2003,2125557818,897 Long Airport Avenue
10121,34,81.35,5,2765.8999999999996,2003-05-07,Shipped,Motorcycles,95,101678,Reims Collectables,Reims,51100,France,EMEA,Henriot,Paul,Small,Q2,2003,26471555,59 rue de l'Abbaye
10134,41,94.74,2,3884.3399999999997,2003-07-01,Shipped,Motorcycles,95,101678,Lyon Souveniers,Paris,75508,France,EMEA,Da Cunha,Daniel,Medium,Q3,2003,33146627555,27 rue du Colonel Pierre Avia
10145,45,83.26,6,3746.7000000000003,2003-08-25,Shipped,Motorcycles,95,101678,Toys4GrownUps.com,Pasadena,90003,USA,,Young,Julie,Medium,Q3,2003,6265557265,78934 Hillside Dr 
10159,49,100.0,14,4900.0,2003-10-10,Shipped,Motorcycles,95,101678,Corporate Gift Ideas Co.,San Francisco,,USA,,Brown,Julie,Medium,Q4,2003,6505551386,7734 Strong St 
10168,36,96.66,1,3479.7599999999998,2003-10-28,Shipped,Motorcycles,95,101678,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Medium,Q4,2003,6505556809,9408 Furth Circle
10180,29,86.13,9,2497.77,2003-11-11,Shipped,Motorcycles,95,101678,Daedalus Designs Imports,Lille,59000,France,EMEA,Rance,Martine,Small,Q4,2003,20161555,184  chausse de Tournai
10188,48,100.0,1,4800.0,2003-11-18,Shipped,Motorcycles,95,101678,Herkku Gifts,Bergen,5804,Norway,EMEA,Oeztan,Veysel,Medium,Q4,2003,4722673215,Drammen 121  PR 744 Sentrum
10201,22,98.57,2,2168.54,2003-12-01,Shipped,Motorcycles,95,101678,Mini Wheels Co.,San Francisco,,USA,,Murphy,Julie,Small,Q4,2003,6505555787,5557 North Pendale Street
10211,41,100.0,14,4100.0,2004-01-15,Shipped,Motorcycles,95,101678,Auto Canal Petit,Paris,75016,France,EMEA,Perrier,Dominique,Medium,Q1,2004,147556555,25  rue Lauriston
10223,37,100.0,1,3700.0,2004-02-20,Shipped,Motorcycles,95,101678,"Australian Collectors, Co.",Melbourne,3004,Australia,APAC,Ferguson,Peter,Medium,Q1,2004,0395204555,636 St Kilda Road
10237,23,100.0,7,2300.0,2004-04-05,Shipped,Motorcycles,95,101678,Vitachrome Inc.,NYC,10022,USA,,Frick,Michael,Small,Q2,2004,2125551500,2678 Kingston Rd 
10251,28,100.0,2,2800.0,2004-05-18,Shipped,Motorcycles,95,101678,Tekni Collectables Inc.,Newark,94019,USA,,Brown,William,Medium,Q2,2004,2015559350,7476 Moss Rd 
10263,34,100.0,2,3400.0,2004-06-28,Shipped,Motorcycles,95,101678,Gift Depot Inc.,Bridgewater,97562,USA,,King,Julie,Medium,Q2,2004,2035552570,25593 South Bay Ln 
10275,45,92.83,1,4177.35,2004-07-23,Shipped,Motorcycles,95,101678,La Rochelle Gifts,Nantes,44000,France,EMEA,Labrune,Janine,Medium,Q3,2004,40678555,67  rue des Cinquante Otages
10285,36,100.0,6,3600.0,2004-08-27,Shipped,Motorcycles,95,101678,Marta's Replicas Co.,Cambridge,51247,USA,,Hernandez,Marta,Medium,Q3,2004,6175558555,39323 Spinnaker Dr 
10299,23,100.0,9,2300.0,2004-09-30,Shipped,Motorcycles,95,101678,"Toys of Finland, Co.",Helsinki,21240,Finland,EMEA,Karttunen,Matti,Small,Q3,2004,902248555,Keskuskatu 45
10309,41,100.0,5,4100.0,2004-10-15,Shipped,Motorcycles,95,101678,Baane Mini Imports,Stavern,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Q4,2004,07989555,Erling Skakkes gate 78
10318,46,94.74,1,4358.04,2004-11-02,Shipped,Motorcycles,95,101678,Diecast Classics Inc.,Allentown,70267,USA,,Yu,Kyung,Medium,Q4,2004,2155551555,7586 Pompton St 
10329,42,100.0,1,4200.0,2004-11-15,Shipped,Motorcycles,95,101678,Land of Toys Inc.,NYC,10022,USA,,Yu,Kwai,Medium,Q4,2004,2125557818,897 Long Airport Avenue
10341,41,100.0,9,4100.0,2004-11-24,Shipped,Motorcycles,95,101678,Salzburg Collectables,Salzburg,5020,Austria,EMEA,Pipps,Georg,Large,Q4,2004,65629555,Geislweg 14
10361,20,72.55,13,1451.0,2004-12-17,Shipped,Motorcycles,95,101678,Souveniers And Things Co.,Chatswood,2067,Australia,APAC,Huxley,Adrian,Small,Q4,2004,61294958555,Monitor Money Building  815 Pacific Hwy
10375,21,34.91,12,733.1099999999999,2005-02-03,Shipped,Motorcycles,95,101678,La Rochelle Gifts,Nantes,44000,France,EMEA,Labrune,Janine,Small,Q1,2005,40678555,67  rue des Cinquante Otages
10388,42,76.36,4,3207.12,2005-03-03,Shipped,Motorcycles,95,101678,FunGiftIdeas.com,New Bedford,50553,USA,,Benitez,Violeta,Medium,Q1,2005,5085552555,1785 First Street
10403,24,100.0,7,2400.0,2005-04-08,Shipped,Motorcycles,95,101678,"UK Collectables, Ltd.",Liverpool,16,UK,EMEA,Devon,Elizabeth,Small,Q2,2005,1715552282,Berkeley Gardens 12  Brewery
10417,66,100.0,2,6600.0,2005-05-13,Disputed,Motorcycles,95,101678,Euro Shopping Channel,Madrid,28034,Spain,EMEA,Freyre,Diego,Large,Q2,2005,915559444,  Moralzarzal  86
10103,26,100.0,11,2600.0,2003-01-29,Shipped,Classic Cars,214,101949,Baane Mini Imports,Stavern,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,Q1,2003,07989555,Erling Skakkes gate 78
10112,29,100.0,1,2900.0,2003-03-24,Shipped,Classic Cars,214,101949,"Volvo Model Replicas, Co",Lule,95822,Sweden,EMEA,Berglund,Christina,Large,Q1,2003,0921123555,Berguvsv„gen  8
10126,38,100.0,11,3800.0,2003-05-28,Shipped,Classic Cars,214,101949,"Corrida Auto Replicas, Ltd",Madrid,28023,Spain,EMEA,Sommer,Mart¡n,Large,Q2,2003,915552282,  Araquil  67
10140,37,100.0,11,3700.0,2003-07-24,Shipped,Classic Cars,214,101949,Technics Stores Inc.,Burlingame,94217,USA,,Hirano,Juri,Large,Q3,2003,6505556809,9408 Furth Circle
10150,45,100.0,8,4500.0,2003-09-19,Shipped,Classic Cars,214,101949,"Dragon Souveniers, Ltd.",Singapore,79903,Singapore,JP,Natividad,Eric,Large,Q3,2003,652217555,Bronz Sok   Bronz Apt  3 6 Tesvikiye
10163,21,100.0,1,2100.0,2003-10-20,Shipped,Classic Cars,214,101949,Classic Legends Inc.,NYC,10022,USA,,Hernandez,Maria,Medium,Q4,2003,2125558493,5905 Pompton St 
10174,34,100.0,4,3400.0,2003-11-06,Shipped,Classic Cars,214,101949,"Australian Gift Network, Co",South Brisbane,4101,Australia,APAC,Calaghan,Tony,Large,Q4,2003,61738446555,31 Duncan St  West End
10183,23,100.0,8,2300.0,2003-11-13,Shipped,Classic Cars,214,101949,"Classic Gift Ideas, Inc",Philadelphia,71270,USA,,Cervantes,Francisca,Medium,Q4,2003,2155554695,782 First Street
